,PigType,DETECTED,dist_boar,dist_pig,borderMI,borderNY,borderQC
0,domesticated,1,32414.253240693623,3913.428693489707,137599.28910775812,137511.49256903317,393901.031211529
1,wild boar,1,4591.880098923933,2830.771925755175,670840.189645471,63872.31663597495,0.0
2,domesticated,1,21199.16895648855,1027.6363145963805,382964.9999394308,130488.03601003527,191139.4039463838
3,domesticated - pot bellied,1,18036.08663688344,382.9951688899903,302976.53197285155,74748.29865362069,258488.0799397078
4,domesticated - pot bellied,1,21560.98047377194,2180.0813100928094,225000.34223424344,164219.4882443025,254883.75895623153
5,unknown,1,65471.543325433166,6199.75835711619,403943.2410795891,187916.82489588944,127435.19793356341
6,unknown,1,59945.733548571065,540.946697520817,397788.4223665047,192981.1400846677,132833.05086346105
7,unknown,1,24696.125168201805,1243.9772044783194,162276.81617902932,195017.54173695558,311977.0706343616
8,unknown,1,6300.47282121365,4550.042073908986,511242.0448418252,171909.81980622542,22889.867685498444
9,domesticated,1,33823.477185944976,1906.3738091594082,142956.59587602734,133593.19089324228,383882.6081817615
10,unknown,1,29594.787587416162,1109.2039247401551,154285.90385268917,122539.76715420984,376470.74180593085
11,domesticated - pot bellied,1,72311.58551362838,9325.089041072752,340812.8132940951,242491.504700969,133366.38332558036
12,unknown,1,23542.706122735424,566.9347905909622,286203.06226194394,163125.50518482956,203058.51120752556
13,domesticated - pot bellied,1,29200.9987381921,2707.3055759271424,400545.83230744384,285615.95661732316,73492.19570528124
14,unknown,1,10840.899533918646,1241.8645809445297,200678.80462756028,168131.0266140217,277531.4347283741
15,domesticated - pot bellied,1,46377.542133111594,4229.292491121692,621477.3615319472,9182.587187673877,53105.5410543507
16,unknown,1,14587.131799329401,5550.700575773438,319263.1515127862,104712.29836489161,230527.31972177207
17,unknown,1,19272.50553750271,1121.798243132366,304188.83366804325,75060.52214745508,257706.0547870603
18,unknown,1,4636.142262619731,3976.8868472023582,305442.04899489216,122164.52730941531,222065.92275869224
19,unknown,1,24281.93784266539,7356.006541649876,0.0,333494.65810080897,564228.3157377964
20,unknown,1,14711.580441676178,1726.4014643114617,174418.50124143803,105969.81428700466,355180.0233986404
21,unknown,1,54470.00358973898,8125.445290823661,330842.1953889047,224314.9602740935,145173.88990880857
22,unknown,1,16600.448651899955,2817.7993749125053,279132.47328586597,159879.50430711443,209807.8395946584
23,domesticated,1,7949.559253110847,1888.7837570209358,181558.66360128153,174573.5224675636,295314.450570967
24,domesticated,1,3663.5880368690196,1566.4289048712465,203033.48890133607,211958.7249044099,271676.5416668359
25,domesticated - pot bellied,1,13918.933368966453,3784.0814260371485,316882.04423017247,100645.06329429345,234319.07176507378
26,wild boar,1,1640.643607041134,3274.644167946314,668750.1094998306,60432.18036891084,2090.2016483390958
27,domesticated,1,16248.052891645291,8250.311002166965,236068.99393789427,39952.44944339643,356503.12726081343
28,domesticated,1,24675.99325966393,6491.2591162141425,517747.31873586576,64909.46208151524,79262.21383727629
29,unknown,1,23133.491881993104,1664.1293954211073,646139.4867939492,15867.930487741623,33671.42832787636
30,unknown,1,16187.403260872316,6002.563832892727,343265.4101874527,145572.3760945056,193786.52928286057
31,unknown,1,7695.03334565043,1562.9977719009337,206956.88066897754,164800.61435140893,272220.6920596941
32,unknown,1,23177.79567302464,1389.0819529523703,435527.8562680994,81388.90688051793,159243.58721180548
33,unknown,1,23420.605381088426,1736.0427434895835,497580.38456459076,74387.15150357696,87483.37576336067
34,domesticated,1,48033.24288025476,3599.4803248553744,37640.12454400836,262941.0108367846,516098.6014722621
35,unknown,1,19183.906910770165,1577.8447084274826,325274.97529909783,115401.10491645015,220830.47632581173
36,domesticated,1,18895.591223362833,4426.086795486521,319379.08179720107,109128.95446402709,227789.99777781
37,domesticated - pot bellied,1,33380.595683846186,5645.70711361847,42665.28639611673,305207.7079845855,565993.1911282049
38,unknown,1,4234.7222770661665,2346.902332830549,673759.143490514,59361.14838015995,5905.841818520015
39,unknown,1,26838.1251412264,3941.8618848400956,247636.78798926185,33167.67081221159,374077.5024815586
40,domesticated,1,45839.285537926706,1810.6673343847383,376188.7648565983,271116.14658714185,97894.99935063734
41,unknown,1,41401.45436207546,2478.9514119030896,173724.15084940603,233875.5751081976,305382.90728102904
42,unknown,1,48661.14888550014,1111.7060615510254,153017.57789526676,221457.77738057735,322616.07073149574
43,domesticated,1,44284.407572102624,2247.706962801193,86920.85117229073,189833.10576156137,412645.1858188399
44,domesticated - pot bellied,1,29486.960386835504,2956.856851487535,226780.6039401197,134708.57409358927,265563.62031983765
45,domesticated,1,11695.098090449617,2113.8723467160835,212002.71672332453,147235.16672358892,273644.88346652995
46,domesticated,1,40473.908437881524,1453.100010345106,371613.2541565328,158307.75514481997,172056.72077586057
47,unknown,1,37232.39468761521,13171.772456474637,248452.16003722296,56416.8963478542,306184.15670209803
48,domesticated - pot bellied,1,55238.42046930048,10416.002137435635,525274.2447453014,110627.41407160387,33188.56681133325
49,domesticated,1,10661.481021645195,164.95398933118625,492586.3929577366,48914.775859250745,113318.49488597664
50,domesticated - pot bellied,1,25943.19727618991,2221.448466753549,457088.6125994313,67432.58407514749,138514.65680551634
51,unknown,1,49793.146418902004,2735.2620303832364,452319.45372730086,127015.49863326679,99967.63544711997
52,unknown,1,26420.72966169629,2762.6632277332155,365957.91920004913,173303.19343690074,166087.3406738922
53,domesticated - pot bellied,1,31195.58796332166,8411.861440599918,514198.58937048796,135152.51999853223,32583.417208826606
54,unknown,1,23723.92735781536,2410.578271154411,537217.996315513,40439.605096156556,85657.83518269745
55,domesticated,1,30465.77317208892,3773.6998161550982,364349.15339125425,158193.78175543048,175319.3147823121
56,unknown,1,48166.84345959639,4523.279601437571,510827.5903562447,92897.75672802396,61659.893683632654
57,unknown,1,19831.361941514046,454.9676354556022,237704.60239812455,110345.89939769485,270612.581321862
58,wild boar,1,239.00544424187777,7106.64911518158,339318.46681770775,155851.42658942653,184916.26742261267
59,domesticated - pot bellied,1,33733.92581506475,1150.2288136098016,152375.95942688079,196764.81196828713,321891.3998896634
60,domesticated,1,31177.391991518227,879.1328325937941,122129.63721242847,180697.55801133614,358972.66944280727
61,wild boar,1,6672.578739819721,4877.404606640761,163016.86731494413,112311.23775467092,402154.51158051123
62,domesticated,1,26616.69527768901,803.3011055067269,477485.39348971593,51900.88313590135,126642.05664534528
63,wild boar,1,9619.196656935643,3759.709874753151,551730.7526178621,29885.581129412643,77442.32478025458
64,domesticated,1,33858.46543309024,3008.0820729678408,88364.59321966712,190825.51646265498,448416.640891114
65,unknown,1,17214.49239736796,6050.461984196855,237342.7142358959,42637.79209646175,381025.9767165497
66,domesticated - pot bellied,1,55128.4094446775,2104.316240221634,124277.60012960684,158559.82822721128,441256.6062341735
67,unknown,1,74639.37633992366,23151.017196374596,249446.0945550179,283564.2897277169,247510.40147507333
68,unknown,1,8748.198071900873,2330.0849761955124,207413.9044222414,221036.96066567267,268584.6428468249
69,domesticated,1,3602.8973157893174,367.28225231734234,212982.05086012848,88914.97935087384,312447.9598805658
70,domesticated,1,13102.362509497843,4411.437151493983,174777.48745800642,99910.32779350717,383218.9799357593
71,unknown,1,22334.149217640035,2491.2583653434813,225640.70877774738,227399.7175231375,251272.36306778103
72,unknown,1,38649.24838411697,3155.7703193325883,157187.53570977706,211688.96869440272,317249.9865319558
73,unknown,1,33770.03857591967,1674.8602970626491,152051.94563320983,195904.23891961362,322284.507246844
74,unknown,1,1578.8045213250455,689.3864806656846,171649.87435050405,119402.51615583224,339250.9045792077
75,unknown,1,36718.310690111946,2504.627834212556,35656.054639614544,297292.0861331908,551314.6845910749
